timestamp,comment,source
N/A,"John Turner became PM exactly the same way. Mackenzie King lost his seat in 2 elections, then won in by elections. John Abbott and Mackenzie Bowell were Senators when they became PM. 

Yet somehow the country survived.",YouTube
N/A,"This isn't the USA. His party was voted in and the party has every right to choose whatever leader it sees fit. If you wanna vote for an indvidual, join a political party and nominate your choice for party leader.",YouTube
N/A,"151,899 Registered Liberals voted in the 2025 Liberal Leadership race, out of the 163,836 that verified their identity to vote – more than the 2013 Leadership race. Mark Carney received 131,674 votes, resulting in 29,457 points on the first ballot to win the Leadership of the Liberal Party of Canada and become the next Prime Minister.",YouTube
N/A," @cleigh113  That's true, but calling an election could be a way for Canadians to voice their opinion on the direction of the country. It might be the best option if leadership change is needed, as it gives people the chance to decide who they want at the helm",YouTube
N/A,Jug is the next one to bail once he finds out he has about 5%. He knows this.,YouTube
N/A, @shiftfocus1  John Turner had a seat in parliament. Mr. PotatoHead doesn't.,YouTube
N/A,@ I really wonder how many actual Canadians are making posting this stuff.  They seem awfully unaware of how thing work here...,YouTube
N/A,"@ How is he corrupt?  Specific facts with evidence, please.",YouTube
N/A,"@ You were screaming to get rid of Trudeau for the past year or more.  Now you've got what you wanted, you're not happy?  Is it because your 25% lead has disappeared?",YouTube
N/A,@ Mr. Potato Head?  You're really living up to your screen name...,YouTube
N/A,lol,YouTube
N/A,In October,YouTube
N/A,Ummmm...,YouTube
N/A,Its so very easy to educate yourself on the situation. Learn something...why are people so lazy?,YouTube
N/A,"incoming, let's fix this",YouTube
N/A,"Who knows. He could sit for  another 7 months and could even possibly add 1 year after that. Our Govt is quite screwed up all the weird ins and outs of it. We need a better Federal Govt. That actually works to help the people ,not the gov't themselves. Just crazy. Just like the gov't in the UK, it's falling apart by being run by a madman. And the people are all being pushed aside for a govt who wants them gone, bringing in asylum seekers and making their lives perfect, but the Tax Payer lives are hell.  Just the same system we have here in Canada. Maybe time for Canada to move away from that UK and become our own country with our own President. I like the USA way of voting. But I don't want to be part of the US. Keep Canada as Canada. But change our govt. And rules.",YouTube
N/A,"Parliament resumes next week, so yep",YouTube
N/A, @DSVII parliament resumes. Doesn’t mean an election will happen for sure. Could go either way.,YouTube
N/A,ndp holding the reelection hostage so singh can get his pension. we're fcked until october,YouTube
N/A," @PitPwny he will have an election right away, he doesn’t want open parliament and have to answer questions in the HoC",YouTube
N/A,"Goober said he will use the Emergencies Act to fight tariffs, in other words no election.",YouTube
N/A,"Nope, you will have Prison Break Season 2",YouTube
N/A,Touch grass,YouTube
N/A,"bud, you have zero idea what the WEF is. Trump is closer to klauss than anyone.",YouTube
N/A,"Yes, both countries central bank's are members of the Bank for International Settlements in Switzerland",YouTube
N/A,"But he will be loyal to Chuck, another WEF monster.",YouTube
N/A,"They keep getting richer and richer, making their pockets deeper!",YouTube
N/A,"You’re right. But that’s because in Canada we have a king, a king that’s not present, but a king nonetheless. The King, is the stand in for the people, legally speaking.",YouTube
N/A,What does that mean?,YouTube
N/A,"Good, I love the WEF",YouTube
N/A," @Nicolas-Kage  YouTube at it again, deleting comments they don’t like 👍",YouTube
N/A,"That would at least move Canada from the USA, so I'm in",YouTube
N/A,"please explain what you mean by that... oh right, you can't.",YouTube
N/A,"Canada is better off with USA, at least while EU still exists.",YouTube
N/A,We don't vote for a prime minister in Canada. The prime minister is the leader of the party with the most seats.,YouTube
N/A,"He'll just end up right back in the PM seat with the current political climate, Trump ruined PPs chances lol",YouTube
N/A,The only options we have is Carney or Pierre,YouTube
N/A,"We have a real prime minister by legal means.  We'll have a general election and the people will vote for the next term.  Vote liberal,  our country depends on it.",YouTube
N/A,Trudeau 2.0,YouTube
N/A, @j_geau  your just splitting hairs. pragmatically we all know that the votes we cast go towards our preferred party leader.,YouTube
N/A, @Swoopiny  PP ruined his own chances. He got real meek and real quiet when Trump started taking aim at us. All he had to do was follow Fords lead.,YouTube
N/A,Hopefully he wins again. Put him right back in the PM seat. Pierre shouldn't even have a chance. We don't like Trump and Poilievre!,YouTube
N/A,"Poilievre has been a ghost ever since Trump threatened our country and even Doug Ford, Premier of my province, has been more of a leader than him! I want someone who stands up for my country, not folds like a cheap suit! Never Pierre",YouTube
N/A,"@TurtleMarchingKing  I am a real Canadian, a real person, and a real voter, and I'm making my voice heard now and at the next election.",YouTube
N/A,@TurtleMarchingKing  I'm not letting a random stranger on the internet dictate what I am or am not 🤣🤣🤣,YouTube
N/A, @Swoopiny wait for it. The blue wave is coming.,YouTube
N/A," @Swoopiny  Nah, if anything more people viewed Trump as hope to free Canada from the  shitlibs lol",YouTube
N/A,@ unsubstantiated tag lines don't win trade wars. Just sayin,YouTube
N/A,"Touch grass, call your kids, apologize to them and join the real world.",YouTube
N/A,You have no idea what was ment by that and it shows.,YouTube
N/A,just like smith in Alberta. She came in the same way.,YouTube
N/A,"@ Right.  And Poilievre was selected to be the leader of the opposition, until an election happened.  That's how things work in our system.",YouTube
N/A,It wouldn’t feel so forced of Parliament wasn’t closed,YouTube
N/A,Except Smith was actually elected first...,YouTube
N/A," @Someone89171  Well let's be naive about motive.  The reason PP wanted the election called right away was because the Liberals were in a transition period so it would have benefited him and his party, right?",YouTube
N/A,@ but he always wanted an election even before this,YouTube
N/A,@ it's not a Parliamentary decision. Sorry,YouTube
N/A, @MrTeampenner  we should have been able to vote non confidence in the pm,YouTube
N/A,Elected as party leader by Liberal party members ... as happens with EVERY party ... and it's not the first time we've had a PM who didn't have a seat in the HOC yet.,YouTube
N/A,"So, like every other party leader in this country. Ok",YouTube
N/A,@ Selected and installed.,YouTube
N/A,its in may you df,YouTube
N/A, @Vraptor1  even better. i think that's fair,YouTube
N/A,As opposed to previous swearings in?,YouTube
N/A,do you understand what swearing in is?,YouTube
N/A,"He swore to the king, which is a representative of the people under our legal framework. If you hate that, advocate for a parliamentary republic instead of a crowned one.",YouTube
N/A,Its incredible how bad things in Canada have gotten... every day it just gets worse and worse..,YouTube
N/A,"Let’s go, Pierre 🇨🇦",YouTube
N/A,Unelected PM. 100% appointed,YouTube
N/A,WEF appointed dictator.,YouTube
N/A,The amount of people not understanding how voting works in Canada is astounding.,YouTube
N/A,Election now! Canadians want a choice!,YouTube
N/A,The rules should be changed so that only a sitting MP can become Prime Minister,YouTube
N/A,Selected not elected! This 🐎 💨💩 needs to end now. Call an election.,YouTube
N/A,"CONSERVATIVES: Step down! Resign!
TRUDEAU: Ok.
CONSERVATIVES: What!? Nobody voted for this!!!",YouTube
N/A,time to get rid of this king nonsense sick and tired of hearing about europe. WE LEFT THAT WORLD FOR A REASON,YouTube
N/A,This man has no right to run a country the people never elected him Prime Minister. He shouldn’t be making any decisions for this country.,YouTube
N/A,Ya some Canadian lived in Europe for the last 10 years😂,YouTube
N/A,I don't remember voting in this democratic election....,YouTube
N/A,He’s more likely to sell Canada,YouTube
N/A,A continuation of Trudeau...WEF schill,YouTube
N/A,"Carney, Freeland and Simon are all WEF members - such a sad day for Canada",YouTube
N/A,"Father in heaven, deliver us from the LiberalNDP agenda. Save this nation from the Father of lies in our nation.",YouTube
N/A,Ghilaine Maxwell would approve,YouTube
N/A,Epstein Island connections?,YouTube
N/A,Canada's democracy is completely gone.,YouTube
N/A,Do you live in Gatineau Quebec?,YouTube
N/A,Kinda how it works....,YouTube
N/A,Well duh. This argument is dumb,YouTube
N/A,and?,YouTube
N/A,"I didn’t choose the conservative leader ,s we are equal ,we don’t like the leaders .",YouTube
N/A,I'm guessing you didn't pay attention in Grade 10 Civics class eh? This is a Parliamentary Democracy.,YouTube
N/A," @catlover2652  correct, it's all about the lesser evil. But a politician is a politician. Very corrupt.",YouTube
N/A, @KILO993  this is democracy? Uh democracy is based on elected officials. Not appointed. Go read it again.,YouTube
N/A, @KILO993  no it is not. Canada is a constitutional monarchy.,YouTube
N/A,Every PM get appointed by the GG to  form a government,YouTube
N/A," @MrBoratWOW  You're right, but also kinda wrong. It is, in full a Constitutional Monarchy and Parliamentary Democracy.",YouTube
N/A,You can't  just go and hire a banker to be the PM. !! Noooo it is wrong,YouTube
N/A,Where is your moral compass!  I find it astounding.,YouTube
N/A,"33 likes? Yeah ok freemason. Not a single Canadian flag in sight, that says it all right there.",YouTube
N/A,I get that we vote for the party but had no idea the rules allowed for someone who hasn't been elected ANYWHERE could be appointed leader. Most people didn't even know this guy existed before this and now he's in charge of the whole country? Who leads the party DOES affect how people vote as well. Them might support the party but if they don't support the leader won't vote for them and vice versa. Majority of the country had no say in Carney becoming PM and that doesn't sit right with a lot of people.,YouTube
N/A,"@LawsonSchlönsson  bad phrasing on my part. I meant appointed as in picked by the Libreals. 
It's the rules for who can run for leader of the party currently in charge that I was questioning.",YouTube
N/A,Why?,YouTube
N/A,So no central bankers sneak in like this clown Carney did,YouTube
N/A,I would agree with that.,YouTube
N/A,"I know you're scared but calm down, he has to be sworn in first. Election being called.",YouTube
N/A,"Yeah ,exactly,calm down..",YouTube
N/A,"Trudeau never did get anything right, at least legally now did he!",YouTube
N/A, @SutherlandVideo  should have resigned a year ago. Not when Trump did BooBooBoo.,YouTube
N/A,The Conservative Party is pathetic,YouTube
N/A,"You have it wrong... NDP asked for Trudeau to step down. 

Conservatives called for an election. We are still waiting for the election.",YouTube
N/A,"We don’t leave, they let us go. Only bc they couldn’t afford to police us. 😢",YouTube
N/A,what reason,YouTube
N/A,Just curious.  When did YOU leave there Pal?  My ancestors left because there weren't enough potatoes to go around.  Not because of a King or royal family.  Perhaps you are some type of idealist.,YouTube
N/A,we are part of the commonweath where the English King is our offical head of state. Back to civics class for you,YouTube
N/A,@ he cant let us go. in our constitution we have to do it,YouTube
N/A,"@ as long as WE who come here swear oath to the KING instead of CANADA and our flag i will not be satisfied. with out freedom, democracy, sovereignty or independence we r simply another piece of a kingdom, another part in limbo. i dont want want a constitutional monarchy casting a shadow on our democracy. the kings and queens on our coin will not propel us into a future that is CANADA strong on its lonesome. we wont forget but we have to let go. a symbol, or too tough, or its part of us- these excuses are the reason we , Canada, are not a freestanding nation. The future of Canada was always a monarch in its past. Do you want to be a dog whos owner never raise to leave the home, or a child, who grows into an adult with agency that you are certain can handle the outside world with integrity and honor. We are an asterixis until we are shed off the shackles. There is no throne in this nation, but so long as there is a crown on the figure head, the domestic leadership will act like the are royal. I bow to no prince. I stand for my nation. No man, no other flag. Canada alone.",YouTube
N/A,Broooo he's just filling in the liberal position until the next election. You'll have time to vote in your populist government soon.,YouTube
N/A,"And technically the people did vote for majority liberal last election, so this is a democratic step in the process.",YouTube
N/A,"@gothicsock  this is a step in the Canadian democratic process, sure. But this isn't democratic objectively. We dont live in an actual proper democracy. Those can't really exist at scale. That said, this step isn't necessary and could be done more democratically.",YouTube
N/A, @ZenCorvus he’s clearly trolling. I wouldn’t engage.,YouTube
N/A,"Hey, at least he's not a CIA asset.",YouTube
N/A,Yes. It's called freedom,YouTube
N/A,"His family residence is in NY where his wife continues to live. Canada is doomed !! The carnage Carney will cause in the next 6 months prior to the election will be staggering.  Can the West just split off now?  Take our share of the navy equipment based on percentage of ocean shoreline, airforce and army based on percentage of landmass; debt and financial resources (bank of Canada gold shares, pension fund etc)  based on population. No more equalization payments to the East. Invest in creating our own processing and manufacturing arm of the natural resources the west has to create our own strong GDP for global trade, and new trade agreements, with our neighbours especially those nations the border the pacific rim.  I am so done with Ontario and Quebec controlling the Canadian narrative. Danielle Smith the premier of Alberta, not my province, speaks more on my behave than does our PM in Ottawa. I am for the Western independence. Let’s call a referendum so we can create our own sovereign state. Neither under the thumb of the USA nor under the thumb of Eastern Canada. A new state, with our own constitution, rights and freedoms that will protect the citizens from the globalists in the UN, WHO and WEF.",YouTube
N/A,At least he's had a real job before. unlike PP.,YouTube
N/A,And what is wrong with that? Thousands of executives live abroad for work. Jealous much?,YouTube
N/A,Being a governor of a nation's bank kind of predisposes working abroad at some point.,YouTube
N/A,that's not how our system has ever worked,YouTube
N/A,"Yeah that’s not how Canadian politics work. We voted in the last federal election. A party won. We will vote in the next federal election. A party will win. Party leaders get to be PM. It’s literally grade three stuff. 
Or are you fully aware and we’re just trying to be edgy? 🙄",YouTube
N/A,"We need to enforce civics classes, apparently. I voted for Carney.",YouTube
N/A,"@ I actually understand that. And I think maybe we need to create very clear language about who can and can’t become party leaders when that leader will automatically become PM. 
And yes, I absolutely agree that everybody is entitled to their opinion. But there are a lot of people in this comment section stating opinions as fact. And that’s just not how it works. Facts do not care about your opinion. You want change? Change it. Until then, your opinion is just that.",YouTube
N/A,@stephanie5249  i think people are voicing their opinion by saying he was installed and not voting in. A summed up and indirect way of stating the system needs to be changed and this is not acceptable.  Also a lot of sarcasm laced in it. That's what 99% of the i didn't vote him in strange comments are,YouTube
N/A,"PP is endorsed by maga.  Vance, Musk, and Alex Jones for starters.",YouTube
N/A,"Clearly you havent been keeping up..didn't watch his speech I guess,when he was picked as liberal leader and specifically said Canada will not be part of  US in any way shape or form",YouTube
N/A,"@ LMAO are you for real,  Trump was lowering prices his first day.. In his defense, he did if your buying into the stock market.",YouTube
N/A," @thegreatdominion949  Well - I think we all know that Trump saying something is in no way a guarantee that he's telling the truth.  Quite the opposite, in fact.  But since we all seem to be in agreement now that Trump is NOT kidding about us becoming the 51st state, it would be in his best interest to have a like-minded person in the PM chair up here.  And since he's smart enough to realize that ""maga"" is a bit of a dirty word for most of us up here, he'd downplay that support.  But I think the endorsements from Vance, Musk, and Alex Jones are very telling. It seems like they didn't get the messaging together before they started talking out loud.",YouTube
N/A,"As opposed to PP, an Exxon, BP, Shell shill.",YouTube
N/A,a friendly reminder that Harper was a literal member of the WEF,YouTube
N/A,And Trump?,YouTube
N/A,"Ask Trump, he was there",YouTube
N/A,Tell me you know nothing about how the Canadian government works without telling me you know nothing about how the Canadian government works.,YouTube
N/A,It's a Constitutional Monarchy,YouTube
N/A,"Zero interviews,  no seat, not my pm",YouTube
N/A,"Nobody knows anything about this guy. I don't know what's happening to our country, but this isn't Canada anymore, and it hasn't been in a long time.",YouTube
N/A,"It is interesting that during the French half of the swearing in, Mark Carney responded in English.",YouTube
N/A,Not my prime minister. 40+million Canadians did not vote for him and his poor track record of economic advice to Trudeau.  He can rot in hell for what he did to Canadians!,YouTube
N/A,not voted in. no seat in parliament. represent foreign interests. ... may the lord have mercy on that nation.,YouTube
N/A,Don't understand why the media or the liberals are not talking to anything about the tariffs from China on Canada  Canola,YouTube
N/A,"He's not Canadians PM. We, as Canadians, need an election now to choose a PM.",YouTube
N/A,He's not even he's not even allowed to speak in the House of Commons not being an elected official,YouTube
N/A,very bad news for Canada,YouTube
N/A,We didn’t elect this fool.. he will go the way of Kim Campbell 😂,YouTube
N/A,0.37% of Canadians voted for this thing.,YouTube
N/A,We want an election!!,YouTube
N/A,Hopefully this is short lived!,YouTube
N/A,This is so stupid...we should abolish the monarchy,YouTube
N/A,That's a room full of slime,YouTube
N/A,This is so wrong in so many ways,YouTube
N/A,Global Elitist in power now.,YouTube
N/A,"Boy oh boy, this comments section is a strong argument for better education on how a parliamentary democracy functions...",YouTube
N/A,"Didn’t even raise his hand, anointed into office.",YouTube
N/A,Carnival Carney...... CALL AN ELECTION,YouTube
N/A,Oh yeah....he is.  Would you rather have a president?,YouTube
N/A,Show me his interviews BTW convenient you ignored that part,YouTube
N/A, @ZenCorvus  Cry harder. Youre just nervous because the polls are now tied.  Hes not the first to come to PM office this way and wont be the last.,YouTube
N/A,The polls are not tied lmao ​ @AlyssaSouthSide ,YouTube
N/A," @AlyssaSouthSide ppl who pretend this method is illegal I just want to ask..did you guys not take gr 10 civics class? We don’t vote for prime minister, we vote for the party and whomever is the leader of that party becomes prime minister. The liberals have used this method in the past and so have the conservatives. This is just a part of Canadian politics….why are ppl making SUUUUCH a big deal out of it?",YouTube
N/A," @AlyssaSouthSide yeah just like Kamala was tied with trump, how did that work out for her? 😂",YouTube
N/A," @bigopalcup  Yep, a lot of  them are. Or the cons are just a little bit ahead. PP is headed for a minority government at best, which means he wont get anything done at all, as no opposing party will work with him.",YouTube
N/A,@ but that’s part of the Canadian political structure. You never voted for an PM. During election when you vote your ballot doesn’t say Trudeau or Carney or Polievre. It says your local MP and the affiliated party. None of those have changed. Again all of this is a legitimate part of Canadian political structure. Liberals have done it in the past so has the Conservatives.,YouTube
N/A,@ he’s the leader of the liberal party. Where does it say he has to be a sitting MP to run for party leader?,YouTube
N/A,Media hasn't reported one single thing on the guy not one.,YouTube
N/A,"lol, huh? Well since you can’t seem to google.  He has an economics degree from Harvard, a masters degree from Oxford.  He was appointed by Stephen Harper (a conservative PM) to run the Bank of Canada, he was also appointed to run the Bank of England by a conservative PM.",YouTube
N/A,"So long then, I guess.  You'll probably be leaving soon?  What with your unhappiness and all.",YouTube
N/A,You guys are actually just telling us you like to be spoon fed information... He's easy to look up and actually very well accomplished. Born and raised in Edmonton Alberta.,YouTube
N/A,Maybe you should learn how our government works. . .,YouTube
N/A,I know he's buddies with island boy. 🤷,YouTube
N/A,"Thank you for quickly determining that nobody knows anything about this very public fellow, and then getting the word out to regular folks through the Youtube channel.  You must be very smart.",YouTube
N/A," @Bora_TalksTV  Okay, looked him up. So he’s a WEF member that hasn’t even lived in Canada for 10 years.",YouTube
N/A,Another puppet playing a role. Do not idolize these people.,YouTube
N/A, @brulfsson  explain WEF for us quickly and tell us all what that means. I also haven’t lived in Canada for many years but I still pay taxes there though. Now explain in detail what WEF means and the impact of it. The floor is yours,YouTube
N/A,"Lol, that's because his French is terrible.",YouTube
N/A,Should disqualify him like the others but he is a rich bankers,YouTube
N/A,I don’t get why we still pretend to be a 2 language country.,YouTube
N/A," @lawbinson  Because Quebec has so many seats in the House Of Commons that no politician can afford to offend them without risking never being elected. To put it simply if you combine BC, Alberta, and Saskatchewan together we just barely beat the number of seats that the province of Quebec has on their own.
So basically, if you can get in good with Quebec and Ontario the rest of the country doesn't really matter.",YouTube
N/A,Research before you comment. Just came off real dumb.,YouTube
N/A,"TheCanagoose wow way to really show him

Does carney have a seat somewhere?",YouTube
N/A, @TheCanagoose  He was telling it as it is. No one Voted for this.,YouTube
N/A,Well said. Canada is in big trouble,YouTube
N/A," @ZenCorvus  he doesnt need one, thats how our elections work",YouTube
N/A," @Mrpickleweasel  He does if he wants to actually lead the nation. Otherwise, he's stuck watching from the visitor's gallery.",YouTube
N/A,51st state became a lot more realistic today,YouTube
N/A,All nations. This isn't just Canada,YouTube
N/A,@RussellDion  I hope the west comes to table after election with levers to pull. Play ball or we leave. Done playing kind,YouTube
N/A,"​ @TiredoldFox  There is no requirement for the PM to have a seat when elected, most likely a Liberal MP will step aside in their riding for a by-election, which is most likely what will happen. But you are correct, it would be very unusual for a sitting Prime Minister not to have a seat. Not something that would be sustainable long term.",YouTube
N/A," @RussellDion  peddle your fear elsewhere. Canadians understand the pressure on our political process from social media, we are not so naive to think that every commenter is a legitimate Canadian Voice.            RussellDion: Joined Jan 15, 2024",YouTube
N/A,What is scary is how many people are ok with this PDF file :(,YouTube
N/A, @ZenCorvus did the Alberta premier have a seat when she won?,YouTube
N/A,I just watched two news stories on this... what are you talking about?,YouTube
N/A,"Canadians don't choose a PM. They choose the party, the party chooses the leader.",YouTube
N/A,"back to civics (and english) class for you. ""He is not CANADA'S PM.""",YouTube
N/A,"I don’t understand everyone was asking for Trudeau to step down and now after he did, people are complaining and calling it rigged",YouTube
N/A,And if we need somebody like that to follow in Trudeau's footsteps why the hell would any Canadian even think about having a man like that,YouTube
N/A,"Also Legit question. Did you really just join YT today?   -  Joined Mar 14, 2025",YouTube
N/A,Neither was Danielle Smith when her party won.,YouTube
N/A,@Vraptor1  well for starters the didn't fudge to vote count for the election like Trudeau did,YouTube
N/A,Wrong.   He will be prime minister for a decade and lead Canada to new heights,YouTube
N/A,"Right, rizz the dog is a reject

Probably same user as titusmccarthy and the other reject accounts you have",YouTube
N/A,Jealous much?,YouTube
N/A,@stevenmartin7050  Maybe I didn't say that about Justin as I wasn't into politics until Pierre Pollieve started copying Donald Trump's rhetoric and policies,YouTube
N/A, @rizz_the_dog  what policicies has he copied??   please be  please be specific I would sure like to hear these,YouTube
N/A,The polls say something different ;),YouTube
N/A,But you could have… All you needed to do was register,YouTube
N/A,The leader of the party...the one we voted in in 2021.,YouTube
N/A, @kerrilee501  that was a $610 million vanity walk.. the official opposition was weak with flip flop O’toole.. did not vote Libs then! Will not again either,YouTube
N/A,@ Yeah and now they are finishing their term.,YouTube
N/A, @AlyssaSouthSide  Kim Campbell and John Turner both had major surges in support after they were selected as leaders of their respective parties and thereby Prime Minister.  It didn't do them much good.,YouTube
N/A,Lol.. bold of you to assume it was mostly Canadians who voted,YouTube
N/A,"Maybe just maybe, it was because it was a liberal leadership race... Therefore, only liberal members got to vote to elect a leader for their party.",YouTube
N/A,"No Canadian voted for him, but crazy how there will be people to defend this guy for no reason just cause he is liberal... liberal failed Canada",YouTube
N/A,Canadians?,YouTube
N/A,"Canadians vote for the party in federal elections. PM is an appointed position, if you don't know this, you shouldn't be voting at all",YouTube
N/A,Someone doesn't know how Canadian politics work. Maybe do some research and educate yourself before the election.,YouTube
N/A,I voted,YouTube
N/A," @Xachremos Yea except party leader elects SHOULD then have to win a federal election, Convenient of you to leave out that aspect",YouTube
N/A,The polls suggest it wont be ;) Blame PP for sinking his chance.,YouTube
N/A,It's indeed,YouTube
